Country,Math_Average_score,Math_Hours_per_year
Armenia ,452,139
Australia ,516,230
Austria ,508,146
"Azerbaijan\6,7\ ",463,130
Bahrain ,436,131
Belgium (Flemish)-BEL ,549,224
Chile ,462,231
Chinese Taipei-CHN ,591,133
Croatia\6\ ,490,134
Czech Republic ,511,163
Denmark\6\ ,537,124
England-GBR ,542,188
Finland  ,545,139
"Georgia\7,8\ ",450,148
Germany ,528,163
Hong Kong-CHN\6\ ,602,158
Hungary ,515,148
"Iran, Islamic Republic of ",431,146
Ireland ,527,150
Italy ,508,214
Japan ,585,150
Kazakhstan\6\ ,501,140
"Korea, Republic of ",605,121
Kuwait\8\ ,342,120
"Lithuania\6,8\ ",534,133
Malta ,496,183
Morocco ,335,174
Netherlands\11\ ,540,195
New Zealand ,486,168
Northern Ireland-GBR\11\ ,562,232
Norway\12\ ,495,157
Oman ,385,170
Poland ,481,157
Portugal ,532,250
Qatar\6\ ,413,185
Romania ,482,148
Russian Federation ,542,104
Saudi Arabia ,410,147
Serbia\6\ ,516,153
Singapore\6\ ,606,208
Slovak Republic ,507,147
Slovenia ,513,169
Spain ,482,167
Sweden ,504,138
Thailand ,458,167
Tunisia ,359,175
Turkey ,469,126
United Arab Emirates ,434,154
United States\6\ ,541,206
Yemen ,248,135
Abu Dhabi-UAE,417,150
Alberta-CAN\6\ ,507,169
Dubai-UAE ,468,158
"Florida-USA\8,13,14\ ",545,217
"North Carolina-USA\6,8,14\ ",554,221
Ontario-CAN ,518,201
Quebec-CAN ,533,229
